Metro Business Network	California Business Daily	1635	337629	2020-06-24	175
MM - California	Chico Times	2743	337644	2020-06-04	1
MM - California	Fresno Leader	2726	337642	2020-06-04	1
MM - California	Kern County Times	2721	337641	2020-06-06	3
MM - California	Kings County Times	2723	337645	2020-06-04	1
MM - California	Merced Times	2727	337637	2020-06-05	2
MM - California	Oakland Record	2752	337632	2020-06-04	1
MM - California	Redding Today	2741	337633	2020-06-04	1
MM - California	Sacramento Standard	2746	337631	2020-06-24	30
MM - California	San Diego Record	2709	337630	2020-06-16	13
MM - California	San Francisco Sun	2750	337646	2020-06-04	1
MM - California	San Joaquin Times	2749	337636	2020-06-04	1
MM - California	San Jose Standard	2729	337635	2020-06-05	2
MM - California	San Mateo Sun	2751	337639	2020-06-07	4
MM - California	SLO Reporter	2722	337640	2020-06-05	2
MM - California	Stanislaus News	2733	337634	2020-06-06	3
MM - California	Tulare Times	2724	337638	2020-06-08	5
MM - California	Wine Country Times	2736	337643	2020-06-04	1
